,lmList,bbox,center
0,"[[701, 410, 0], [646, 390, 3], [600, 344, 3], [568, 315, -1], [533, 300, -7], [635, 281, 21], [583, 276, 2], [544, 283, -15], [510, 288, -27], [656, 270, 7], [593, 267, -8], [561, 283, -19], [540, 280, -26], [681, 269, -10], [617, 278, -32], [629, 321, -30], [650, 338, -25], [704, 277, -27], [645, 288, -47], [651, 323, -43], [669, 339, -36]]","(510, 267, 194, 143)","(607, 338)"
1,"[[698, 415, 0], [644, 390, 5], [598, 339, 9], [566, 308, 6], [532, 289, 1], [637, 285, 30], [591, 276, 13], [554, 277, -3], [520, 277, -15], [658, 274, 13], [603, 264, -3], [559, 274, -18], [523, 273, -27], [684, 273, -5], [622, 276, -31], [633, 321, -31], [652, 343, -25], [707, 281, -25], [650, 285, -45], [653, 319, -40], [672, 338, -33]]","(520, 264, 187, 151)","(613, 339)"
2,"[[669, 430, 0], [625, 399, 0], [590, 337, 0], [574, 292, -3], [548, 260, -8], [634, 294, 18], [601, 267, 2], [566, 254, -9], [536, 242, -18], [662, 290, 6], [622, 268, -16], [619, 309, -22], [630, 333, -20], [688, 295, -8], [638, 275, -36], [636, 322, -28], [652, 350, -15], [714, 306, -24], [662, 289, -44], [654, 323, -37], [668, 346, -27]]","(536, 242, 178, 188)","(625, 336)"
3,"[[661, 432, 0], [617, 398, 0], [587, 337, 0], [570, 296, -4], [544, 267, -9], [636, 298, 20], [601, 270, 2], [565, 255, -13], [533, 242, -25], [662, 293, 7], [618, 268, -18], [616, 309, -28], [628, 333, -28], [687, 297, -8], [633, 275, -36], [632, 321, -30], [649, 345, -19], [710, 308, -25], [655, 293, -46], [649, 328, -40], [663, 350, -31]]","(533, 242, 177, 190)","(621, 337)"
4,"[[652, 441, 0], [610, 410, 0], [584, 347, 3], [568, 304, 0], [544, 270, -5], [626, 310, 25], [594, 280, 10], [562, 263, -3], [533, 248, -13], [651, 303, 12], [607, 267, -3], [565, 259, -14], [536, 245, -20], [678, 306, -3], [626, 278, -29], [621, 326, -28], [633, 355, -21], [702, 317, -20], [649, 301, -42], [642, 337, -39], [656, 361, -32]]","(533, 245, 169, 196)","(617, 343)"
5,"[[653, 443, 0], [608, 406, 3], [582, 346, 5], [568, 306, 2], [547, 272, -2], [626, 305, 26], [595, 277, 10], [563, 262, -4], [534, 250, -15], [651, 300, 12], [608, 267, -3], [568, 261, -15], [539, 248, -22], [679, 305, -5], [625, 279, -31], [620, 326, -30], [631, 356, -21], [702, 318, -22], [650, 301, -44], [643, 335, -39], [655, 359, -31]]","(534, 248, 168, 195)","(618, 345)"
6,"[[653, 446, 0], [606, 407, 3], [582, 345, 5], [568, 303, 1], [545, 270, -3], [633, 304, 26], [598, 275, 10], [565, 260, -4], [536, 248, -15], [659, 300, 11], [611, 268, -4], [577, 274, -14], [558, 267, -18], [685, 305, -6], [627, 280, -33], [621, 329, -29], [634, 355, -20], [705, 320, -25], [650, 301, -47], [642, 336, -41], [655, 360, -32]]","(536, 248, 169, 198)","(620, 347)"
7,"[[655, 445, 0], [608, 403, 3], [583, 343, 4], [570, 301, -1], [548, 266, -8], [638, 305, 23], [604, 273, 5], [570, 256, -11], [540, 241, -23], [665, 303, 9], [620, 276, -17], [612, 320, -27], [622, 346, -28], [690, 309, -8], [633, 281, -37], [629, 331, -30], [644, 359, -18], [711, 323, -26], [655, 300, -47], [646, 336, -40], [658, 359, -30]]","(540, 241, 171, 204)","(625, 343)"
8,"[[651, 445, 0], [608, 407, 0], [585, 343, 0], [573, 300, -6], [550, 266, -12], [642, 301, 19], [604, 272, 0], [568, 253, -17], [536, 238, -29], [669, 300, 6], [620, 274, -20], [615, 322, -27], [629, 348, -26], [693, 307, -10], [635, 282, -38], [630, 331, -28], [648, 355, -15], [711, 322, -28], [657, 301, -49], [647, 336, -41], [659, 358, -30]]","(536, 238, 175, 207)","(623, 341)"
9,"[[653, 444, 0], [606, 405, 1], [584, 342, 2], [569, 299, -1], [544, 264, -7], [637, 308, 24], [600, 277, 5], [565, 261, -11], [533, 247, -23], [662, 302, 11], [615, 264, -8], [574, 262, -20], [549, 247, -26], [688, 306, -6], [628, 279, -34], [623, 330, -32], [637, 357, -24], [707, 318, -24], [647, 301, -46], [641, 339, -42], [657, 361, -35]]","(533, 247, 174, 197)","(620, 345)"
10,"[[654, 448, 0], [608, 406, 7], [586, 347, 12], [573, 307, 9], [553, 271, 5], [638, 304, 31], [600, 275, 13], [565, 260, -4], [534, 247, -16], [662, 300, 14], [610, 264, -3], [567, 259, -16], [539, 244, -23], [687, 304, -5], [626, 278, -31], [621, 327, -29], [636, 354, -21], [705, 317, -24], [649, 301, -46], [642, 337, -41], [657, 360, -33]]","(534, 244, 171, 204)","(619, 346)"
11,"[[679, 452, 0], [623, 413, 4], [588, 352, 3], [565, 312, -2], [535, 283, -8], [641, 301, 22], [596, 276, 2], [556, 267, -15], [520, 258, -28], [665, 295, 8], [603, 275, -13], [584, 306, -23], [583, 315, -27], [688, 298, -9], [620, 285, -35], [624, 334, -31], [645, 353, -23], [707, 310, -27], [644, 303, -47], [643, 341, -42], [662, 359, -34]]","(520, 258, 187, 194)","(613, 355)"
12,"[[673, 445, 0], [621, 404, 4], [590, 347, 5], [571, 308, 0], [543, 281, -5], [646, 298, 25], [600, 275, 6], [562, 268, -11], [528, 263, -24], [670, 293, 10], [610, 271, -8], [577, 284, -19], [559, 280, -25], [693, 297, -8], [626, 283, -34], [627, 331, -31], [643, 356, -22], [712, 310, -26], [652, 301, -47], [648, 337, -41], [663, 359, -32]]","(528, 263, 184, 182)","(620, 354)"
13,"[[677, 442, 0], [624, 406, 2], [594, 348, 3], [574, 309, 0], [545, 282, -6], [649, 300, 21], [602, 276, 1], [563, 270, -18], [528, 267, -30], [672, 294, 8], [613, 268, -9], [572, 273, -22], [544, 267, -29], [695, 298, -8], [630, 282, -33], [629, 330, -31], [644, 356, -24], [713, 310, -24], [655, 302, -45], [652, 337, -40], [667, 359, -32]]","(528, 267, 185, 175)","(620, 354)"
14,"[[683, 444, 0], [626, 409, 2], [593, 350, 3], [571, 311, -1], [540, 284, -6], [645, 299, 22], [597, 278, 3], [558, 272, -15], [523, 267, -27], [669, 292, 8], [607, 271, -8], [576, 283, -19], [558, 277, -25], [693, 295, -8], [625, 284, -32], [628, 330, -29], [647, 349, -23], [710, 308, -26], [649, 304, -45], [648, 339, -41], [666, 357, -34]]","(523, 267, 187, 177)","(616, 355)"
15,"[[681, 444, 0], [625, 410, 1], [591, 350, 1], [568, 309, -3], [536, 282, -8], [643, 299, 23], [598, 277, 4], [559, 272, -14], [524, 269, -26], [667, 292, 10], [609, 270, -7], [581, 286, -17], [565, 287, -22], [691, 295, -6], [624, 283, -31], [627, 330, -27], [645, 354, -19], [709, 307, -23], [649, 302, -43], [648, 338, -38], [665, 358, -30]]","(524, 269, 185, 175)","(616, 356)"
16,"[[683, 446, 0], [627, 411, 1], [592, 352, 1], [568, 312, -4], [535, 285, -10], [646, 300, 24], [598, 281, 5], [559, 275, -12], [524, 270, -24], [669, 293, 10], [608, 271, -7], [573, 282, -17], [552, 276, -23], [692, 296, -7], [623, 285, -33], [626, 333, -30], [644, 355, -22], [708, 309, -26], [647, 304, -46], [647, 340, -42], [665, 359, -34]]","(524, 270, 184, 176)","(616, 358)"
17,"[[681, 444, 0], [626, 409, 1], [591, 351, 1], [569, 311, -3], [537, 284, -9], [641, 298, 23], [594, 277, 2], [555, 273, -16], [521, 270, -28], [665, 291, 9], [604, 271, -8], [569, 281, -19], [546, 275, -24], [690, 294, -7], [622, 285, -32], [626, 332, -29], [643, 356, -22], [709, 307, -25], [650, 302, -45], [649, 338, -40], [665, 358, -32]]","(521, 270, 188, 174)","(615, 357)"
18,"[[680, 443, 0], [627, 410, 1], [592, 352, 2], [570, 312, -2], [539, 286, -7], [639, 298, 22], [594, 278, 3], [557, 274, -15], [523, 270, -27], [663, 291, 9], [604, 269, -8], [563, 276, -20], [534, 270, -26], [688, 293, -7], [623, 283, -33], [625, 330, -31], [641, 355, -23], [708, 305, -25], [650, 301, -46], [648, 337, -41], [664, 358, -33]]","(523, 269, 185, 174)","(615, 356)"
19,"[[714, 441, 0], [648, 409, 8], [601, 359, 8], [567, 328, 2], [529, 312, -5], [653, 289, 26], [592, 284, 5], [549, 294, -15], [512, 302, -29], [673, 282, 9], [601, 278, -8], [568, 293, -21], [546, 291, -29], [694, 286, -10], [619, 298, -31], [633, 340, -30], [656, 355, -26], [708, 299, -30], [643, 312, -46], [651, 345, -41], [672, 360, -35]]","(512, 278, 202, 163)","(613, 359)"
20,"[[708, 437, 0], [643, 404, 7], [597, 354, 7], [565, 324, 0], [527, 310, -7], [655, 285, 23], [594, 280, 4], [550, 288, -15], [512, 298, -30], [679, 279, 8], [609, 286, -11], [609, 322, -21], [619, 337, -26], [699, 283, -9], [623, 298, -30], [637, 339, -25], [659, 355, -18], [712, 299, -28], [647, 310, -44], [653, 343, -37], [672, 358, -30]]","(512, 279, 200, 158)","(612, 358)"
21,"[[713, 437, 0], [648, 408, 5], [600, 355, 5], [566, 326, -1], [527, 313, -8], [654, 289, 24], [594, 284, 4], [550, 290, -15], [512, 298, -29], [677, 281, 8], [610, 285, -10], [606, 316, -20], [612, 325, -25], [698, 285, -9], [624, 300, -30], [640, 340, -27], [665, 351, -21], [713, 299, -28], [647, 312, -45], [655, 344, -39], [676, 356, -33]]","(512, 281, 201, 156)","(612, 359)"
22,"[[710, 436, 0], [648, 408, 4], [602, 358, 4], [568, 328, -2], [529, 312, -9], [650, 290, 24], [592, 287, 3], [550, 295, -17], [513, 303, -31], [671, 282, 8], [603, 280, -8], [567, 293, -21], [542, 291, -29], [692, 284, -9], [621, 298, -31], [633, 340, -30], [655, 356, -25], [708, 298, -29], [647, 311, -46], [653, 344, -41], [674, 358, -34]]","(513, 280, 197, 156)","(611, 358)"
23,"[[709, 434, 0], [647, 406, 6], [600, 356, 6], [566, 325, 0], [528, 311, -6], [651, 288, 25], [593, 284, 5], [550, 292, -14], [513, 301, -27], [672, 280, 8], [602, 280, -7], [570, 297, -19], [548, 297, -27], [694, 284, -10], [621, 298, -31], [632, 339, -30], [653, 356, -24], [709, 298, -29], [647, 310, -46], [652, 343, -41], [671, 359, -34]]","(513, 280, 196, 154)","(611, 357)"
24,"[[708, 432, 0], [648, 406, 6], [601, 356, 8], [568, 326, 4], [530, 311, 0], [646, 291, 26], [591, 286, 8], [549, 294, -10], [513, 302, -23], [667, 282, 11], [603, 277, -5], [563, 289, -19], [531, 289, -27], [691, 284, -7], [623, 296, -30], [635, 340, -30], [655, 359, -25], [710, 297, -25], [649, 309, -44], [655, 343, -40], [674, 359, -33]]","(513, 277, 197, 155)","(611, 354)"
25,"[[702, 427, 0], [646, 395, 8], [607, 345, 13], [583, 314, 11], [558, 293, 8], [647, 285, 26], [600, 274, 7], [560, 281, -11], [524, 289, -23], [671, 277, 10], [607, 269, -5], [562, 280, -20], [526, 283, -28], [697, 279, -7], [630, 284, -30], [641, 329, -29], [661, 352, -23], [719, 291, -26], [659, 298, -44], [663, 332, -38], [680, 351, -30]]","(524, 269, 195, 158)","(621, 348)"
26,"[[697, 424, 0], [644, 392, 3], [606, 335, 8], [582, 298, 6], [555, 274, 4], [653, 287, 25], [610, 269, 9], [573, 265, -6], [539, 263, -17], [676, 280, 11], [623, 260, -4], [578, 262, -17], [541, 258, -24], [701, 281, -5], [640, 272, -30], [643, 318, -30], [658, 346, -23], [723, 292, -21], [666, 288, -42], [665, 322, -38], [680, 345, -31]]","(539, 258, 184, 166)","(631, 341)"
27,"[[671, 427, 0], [626, 394, 2], [595, 333, 5], [579, 292, 4], [554, 263, 1], [636, 289, 25], [603, 263, 8], [568, 252, -6], [537, 243, -16], [661, 283, 12], [617, 257, -4], [590, 269, -13], [577, 267, -17], [688, 287, -4], [635, 270, -31], [632, 317, -27], [646, 342, -18], [712, 301, -21], [658, 289, -43], [653, 325, -37], [666, 347, -28]]","(537, 243, 175, 184)","(624, 335)"
28,"[[669, 430, 0], [619, 393, 3], [590, 331, 5], [573, 290, 1], [545, 261, -3], [636, 289, 26], [601, 264, 8], [565, 253, -7], [532, 244, -19], [663, 285, 12], [618, 264, -8], [609, 301, -17], [616, 319, -19], [688, 290, -4], [631, 274, -31], [630, 321, -25], [647, 344, -15], [710, 303, -22], [653, 290, -41], [648, 326, -35], [664, 347, -26]]","(532, 244, 178, 186)","(621, 337)"
29,"[[658, 432, 0], [614, 396, 2], [587, 333, 3], [570, 291, 0], [545, 260, -5], [636, 295, 23], [599, 268, 5], [563, 254, -10], [532, 243, -21], [660, 290, 9], [613, 258, -8], [578, 264, -18], [557, 257, -23], [685, 295, -8], [627, 271, -34], [624, 320, -31], [639, 344, -23], [706, 307, -25], [649, 295, -47], [644, 331, -42], [660, 352, -35]]","(532, 243, 174, 189)","(619, 337)"
30,"[[660, 433, 0], [614, 398, 4], [589, 337, 8], [575, 296, 6], [551, 264, 2], [632, 299, 25], [599, 269, 10], [565, 254, -3], [536, 242, -13], [657, 293, 11], [610, 258, -3], [568, 252, -15], [537, 239, -21], [684, 296, -5], [628, 269, -30], [624, 317, -29], [635, 346, -22], [707, 308, -21], [653, 291, -43], [646, 326, -40], [658, 351, -32]]","(536, 239, 171, 194)","(621, 336)"
31,"[[658, 436, 0], [612, 395, 5], [588, 334, 9], [575, 293, 6], [552, 261, 2], [637, 295, 29], [604, 266, 13], [569, 252, -2], [537, 240, -13], [661, 290, 14], [615, 257, -2], [571, 251, -14], [538, 239, -21], [686, 295, -4], [629, 271, -30], [623, 319, -28], [634, 348, -20], [706, 309, -22], [650, 293, -44], [643, 328, -39], [655, 353, -30]]","(537, 239, 169, 197)","(621, 337)"
32,"[[647, 444, 0], [604, 402, 2], [584, 342, 4], [572, 301, 0], [552, 266, -5], [628, 304, 28], [597, 274, 11], [564, 257, -5], [534, 242, -16], [653, 298, 14], [610, 263, -5], [567, 254, -19], [536, 239, -26], [679, 303, -3], [625, 276, -32], [617, 323, -31], [628, 352, -23], [700, 316, -21], [646, 299, -44], [637, 334, -40], [649, 358, -31]]","(534, 239, 166, 205)","(617, 341)"
33,"[[645, 446, 0], [600, 403, 6], [581, 342, 10], [571, 300, 8], [551, 264, 4], [628, 308, 32], [598, 274, 18], [565, 256, 4], [535, 241, -5], [653, 303, 17], [610, 264, 1], [566, 252, -12], [532, 237, -19], [678, 307, 0], [624, 277, -26], [616, 325, -27], [625, 357, -19], [699, 318, -17], [644, 296, -39], [636, 332, -35], [646, 360, -26]]","(532, 237, 167, 209)","(615, 341)"
34,"[[639, 451, 0], [598, 403, 6], [582, 339, 10], [571, 297, 8], [552, 261, 5], [642, 309, 33], [606, 273, 18], [571, 255, 3], [541, 239, -6], [664, 306, 17], [618, 266, 2], [574, 255, -10], [543, 237, -17], [685, 311, 0], [628, 278, -27], [617, 326, -26], [626, 356, -18], [700, 323, -18], [645, 298, -40], [634, 333, -35], [645, 359, -26]]","(541, 237, 159, 214)","(620, 344)"
35,"[[622, 462, 0], [590, 405, 8], [585, 343, 10], [582, 300, 4], [570, 259, -1], [664, 326, 31], [626, 280, 14], [592, 254, 0], [563, 233, -11], [685, 329, 14], [637, 287, -10], [617, 325, -19], [621, 351, -21], [698, 336, -4], [640, 289, -32], [621, 335, -25], [632, 366, -13], [700, 345, -24], [652, 302, -44], [633, 333, -37], [640, 360, -26]]","(563, 233, 137, 229)","(631, 347)"
36,"[[620, 462, 0], [587, 407, 12], [587, 345, 15], [584, 302, 11], [572, 262, 6], [653, 324, 35], [621, 278, 18], [587, 254, 0], [558, 235, -10], [673, 327, 17], [631, 277, -1], [596, 280, -14], [580, 278, -19], [692, 334, -2], [636, 288, -26], [617, 334, -25], [626, 366, -19], [704, 345, -22], [649, 307, -41], [633, 341, -37], [642, 370, -29]]","(558, 235, 146, 227)","(631, 348)"
37,"[[622, 467, 0], [588, 408, 13], [587, 345, 17], [584, 302, 13], [572, 261, 9], [659, 325, 38], [627, 280, 24], [594, 255, 7], [566, 235, -4], [680, 330, 21], [636, 288, -1], [612, 323, -14], [610, 346, -17], [697, 339, 1], [640, 294, -23], [622, 340, -20], [631, 369, -12], [706, 349, -18], [653, 310, -36], [634, 343, -31], [641, 369, -22]]","(566, 235, 140, 232)","(636, 351)"
38,"[[622, 466, 0], [589, 407, 10], [589, 345, 12], [586, 301, 7], [571, 262, 1], [660, 327, 30], [628, 280, 13], [594, 254, -4], [564, 234, -16], [681, 331, 14], [636, 286, -8], [611, 317, -20], [607, 338, -24], [698, 339, -4], [640, 294, -29], [623, 339, -26], [633, 370, -18], [707, 349, -23], [653, 308, -42], [636, 342, -37], [644, 369, -29]]","(564, 234, 143, 232)","(635, 350)"
