,lmList,bbox,center
0,"[[222, 406, 0], [266, 390, -25], [301, 339, -31], [313, 291, -33], [331, 263, -32], [278, 297, -15], [255, 278, -38], [238, 311, -46], [236, 339, -43], [246, 291, -7], [222, 280, -38], [214, 323, -45], [215, 353, -39], [219, 290, -4], [197, 280, -35], [197, 317, -39], [204, 347, -28], [194, 293, -2], [189, 250, -18], [183, 223, -21], [180, 199, -17]]","(180, 199, 151, 207)","(255, 302)"
1,"[[223, 404, 0], [267, 387, -25], [302, 337, -31], [312, 291, -34], [331, 264, -33], [278, 297, -15], [258, 278, -39], [241, 311, -47], [237, 340, -44], [246, 291, -7], [225, 280, -39], [215, 322, -46], [216, 353, -40], [219, 290, -4], [199, 279, -36], [196, 316, -40], [202, 345, -29], [194, 292, -2], [190, 249, -18], [182, 222, -22], [179, 198, -18]]","(179, 198, 152, 206)","(255, 301)"
2,"[[223, 403, 0], [268, 387, -25], [302, 336, -30], [313, 290, -32], [331, 263, -30], [276, 296, -14], [254, 279, -37], [239, 311, -44], [236, 339, -42], [245, 289, -6], [221, 282, -38], [214, 323, -44], [216, 353, -38], [218, 289, -3], [197, 280, -35], [196, 318, -38], [204, 347, -28], [193, 292, -1], [189, 250, -17], [182, 223, -21], [179, 199, -17]]","(179, 199, 152, 204)","(255, 301)"
3,"[[222, 405, 0], [266, 389, -25], [302, 339, -30], [313, 291, -33], [334, 265, -32], [277, 297, -16], [252, 279, -39], [236, 312, -47], [234, 341, -44], [245, 290, -8], [222, 280, -39], [213, 323, -45], [214, 354, -39], [218, 290, -4], [197, 279, -36], [196, 318, -39], [203, 348, -28], [193, 292, -1], [188, 250, -18], [181, 223, -22], [177, 199, -18]]","(177, 199, 157, 206)","(255, 302)"
4,"[[220, 404, 0], [266, 387, -25], [301, 337, -30], [313, 290, -32], [332, 264, -31], [276, 298, -16], [253, 278, -38], [237, 312, -46], [234, 341, -43], [244, 292, -8], [222, 280, -39], [212, 322, -45], [213, 352, -39], [217, 290, -4], [196, 277, -35], [194, 315, -39], [201, 344, -28], [192, 292, -1], [188, 249, -18], [181, 222, -22], [177, 198, -19]]","(177, 198, 155, 206)","(254, 301)"
5,"[[223, 405, 0], [268, 388, -24], [301, 335, -28], [309, 289, -30], [328, 263, -27], [274, 296, -14], [251, 280, -36], [235, 313, -42], [232, 341, -39], [243, 291, -6], [220, 282, -36], [212, 323, -43], [214, 353, -36], [217, 290, -2], [196, 280, -33], [195, 317, -36], [202, 346, -26], [192, 292, 0], [187, 250, -16], [180, 223, -20], [176, 200, -16]]","(176, 200, 152, 205)","(252, 302)"
6,"[[221, 405, 0], [267, 389, -25], [301, 339, -29], [310, 291, -32], [328, 263, -30], [277, 298, -15], [254, 280, -37], [238, 312, -45], [235, 341, -43], [245, 292, -7], [222, 282, -38], [213, 324, -45], [214, 354, -39], [219, 291, -3], [197, 279, -34], [195, 316, -38], [201, 345, -28], [193, 293, -1], [188, 250, -17], [181, 223, -22], [177, 199, -18]]","(177, 199, 151, 206)","(252, 302)"
7,"[[223, 405, 0], [266, 389, -27], [299, 338, -32], [309, 289, -35], [327, 261, -34], [275, 297, -14], [254, 278, -37], [238, 312, -45], [236, 340, -42], [243, 291, -5], [223, 280, -37], [214, 322, -44], [215, 352, -37], [217, 290, -2], [197, 279, -34], [196, 317, -37], [203, 346, -26], [192, 292, 0], [187, 250, -17], [180, 223, -21], [177, 199, -17]]","(177, 199, 150, 206)","(252, 302)"
8,"[[222, 405, 0], [267, 388, -24], [300, 336, -29], [308, 288, -31], [327, 261, -29], [274, 297, -12], [252, 279, -35], [237, 312, -42], [236, 339, -39], [243, 291, -5], [220, 282, -35], [213, 323, -42], [216, 352, -36], [217, 290, -1], [195, 280, -32], [196, 318, -36], [204, 347, -25], [192, 292, 0], [187, 250, -15], [180, 223, -18], [176, 199, -14]]","(176, 199, 151, 206)","(251, 302)"
9,"[[222, 403, 0], [267, 387, -24], [299, 336, -28], [307, 288, -30], [325, 261, -29], [275, 295, -12], [253, 280, -34], [239, 313, -42], [237, 340, -39], [244, 289, -5], [223, 281, -35], [215, 323, -42], [216, 353, -36], [217, 288, -2], [197, 279, -32], [196, 317, -36], [203, 346, -26], [191, 290, 0], [186, 249, -15], [179, 223, -19], [176, 199, -15]]","(176, 199, 149, 204)","(250, 301)"
