,lmList,bbox,center
0,"[[585, 403, 0], [541, 393, -2], [505, 361, -5], [493, 324, -11], [499, 292, -14], [533, 308, 18], [503, 295, -4], [510, 329, -15], [527, 345, -19], [552, 302, 11], [515, 294, -15], [527, 335, -20], [549, 345, -15], [573, 297, 0], [533, 293, -27], [544, 334, -21], [566, 342, -8], [597, 296, -13], [554, 295, -30], [558, 325, -26], [577, 334, -17]]","(493, 292, 104, 111)","(545, 347)"
1,"[[585, 405, 0], [539, 392, 0], [503, 360, -3], [490, 324, -9], [498, 292, -13], [537, 307, 20], [503, 298, -2], [510, 332, -14], [527, 346, -18], [556, 302, 11], [515, 294, -16], [526, 337, -21], [549, 346, -16], [576, 298, -1], [532, 293, -28], [542, 335, -21], [564, 342, -7], [598, 297, -15], [553, 296, -31], [558, 326, -27], [577, 334, -17]]","(490, 292, 108, 113)","(544, 348)"
2,"[[584, 401, 0], [539, 391, -4], [502, 362, -6], [490, 324, -13], [498, 292, -16], [533, 310, 18], [504, 296, -4], [509, 329, -16], [526, 346, -21], [553, 304, 11], [517, 293, -15], [525, 335, -21], [546, 347, -17], [573, 300, 0], [534, 292, -26], [542, 333, -20], [563, 343, -8], [597, 298, -11], [554, 295, -28], [556, 325, -24], [574, 335, -15]]","(490, 292, 107, 109)","(543, 346)"
3,"[[579, 401, 0], [536, 390, -3], [503, 359, -5], [490, 324, -12], [495, 292, -16], [533, 308, 18], [502, 295, -4], [508, 328, -16], [525, 344, -21], [551, 302, 10], [514, 293, -15], [524, 334, -20], [545, 343, -16], [572, 297, -1], [531, 291, -27], [540, 331, -21], [561, 339, -8], [595, 295, -13], [553, 293, -30], [555, 323, -26], [573, 332, -17]]","(490, 291, 105, 110)","(542, 346)"
4,"[[583, 400, 0], [538, 391, -1], [501, 360, -3], [490, 323, -9], [496, 291, -12], [532, 312, 19], [502, 298, -1], [508, 330, -13], [525, 345, -17], [550, 305, 12], [515, 293, -13], [525, 334, -18], [546, 344, -14], [570, 300, 0], [532, 291, -25], [541, 331, -19], [562, 340, -7], [593, 296, -12], [551, 293, -27], [555, 323, -23], [573, 331, -15]]","(490, 291, 103, 109)","(541, 345)"
5,"[[578, 399, 0], [534, 389, 0], [501, 358, -1], [490, 322, -7], [494, 290, -10], [532, 306, 20], [502, 296, 0], [507, 330, -12], [524, 345, -17], [550, 300, 12], [513, 292, -12], [521, 334, -17], [542, 343, -12], [569, 295, 0], [530, 291, -25], [537, 333, -18], [558, 340, -5], [592, 294, -12], [550, 293, -28], [552, 323, -23], [570, 332, -14]]","(490, 290, 102, 109)","(541, 344)"
6,"[[576, 399, 0], [536, 390, -2], [501, 360, -4], [489, 323, -10], [493, 291, -12], [530, 308, 15], [500, 297, -5], [507, 330, -16], [522, 346, -21], [549, 301, 9], [511, 294, -16], [522, 334, -21], [543, 345, -16], [568, 297, -2], [528, 291, -27], [539, 331, -21], [559, 340, -8], [591, 295, -14], [549, 293, -30], [553, 322, -26], [570, 331, -18]]","(489, 291, 102, 108)","(540, 345)"
7,"[[576, 397, 0], [537, 389, -2], [501, 359, -4], [489, 323, -10], [494, 291, -13], [527, 309, 16], [500, 295, -5], [505, 327, -17], [520, 344, -21], [546, 302, 9], [511, 292, -16], [522, 333, -20], [542, 344, -15], [567, 297, -1], [528, 290, -27], [539, 330, -20], [559, 340, -8], [591, 295, -13], [549, 293, -30], [553, 322, -26], [571, 331, -18]]","(489, 290, 102, 107)","(540, 343)"
8,"[[576, 398, 0], [535, 390, -1], [502, 360, -3], [490, 324, -10], [492, 292, -13], [531, 311, 18], [502, 298, -3], [507, 330, -15], [524, 348, -20], [548, 304, 10], [512, 292, -15], [521, 333, -21], [543, 346, -17], [567, 298, -1], [528, 289, -27], [537, 330, -22], [558, 341, -10], [590, 295, -13], [548, 293, -30], [552, 323, -27], [570, 332, -19]]","(490, 289, 100, 109)","(540, 343)"
9,"[[578, 399, 0], [536, 391, -2], [501, 360, -4], [488, 324, -10], [492, 292, -13], [528, 307, 17], [498, 298, -4], [507, 331, -15], [524, 347, -20], [546, 301, 10], [511, 294, -14], [522, 335, -18], [543, 345, -14], [566, 297, 0], [528, 291, -25], [538, 331, -18], [558, 340, -6], [589, 295, -13], [548, 293, -28], [552, 322, -24], [570, 331, -15]]","(488, 291, 101, 108)","(538, 345)"
