,lmList,bbox,center
0,"[[172, 553, 0], [215, 532, -38], [245, 487, -56], [229, 438, -72], [201, 400, -86], [260, 397, -26], [291, 328, -52], [309, 285, -69], [321, 247, -80], [221, 395, -23], [225, 356, -67], [218, 402, -81], [216, 435, -80], [183, 404, -24], [180, 381, -68], [184, 429, -65], [188, 453, -51], [148, 418, -29], [148, 399, -57], [155, 432, -51], [160, 450, -38]]","(148, 247, 173, 306)","(234, 400)"
1,"[[173, 551, 0], [218, 530, -33], [246, 483, -50], [223, 433, -66], [193, 400, -79], [261, 399, -25], [291, 329, -50], [310, 285, -65], [321, 249, -76], [221, 396, -25], [229, 354, -68], [224, 400, -81], [221, 434, -78], [183, 405, -28], [182, 383, -71], [186, 431, -66], [190, 455, -51], [148, 421, -34], [149, 400, -60], [156, 433, -52], [161, 451, -38]]","(148, 249, 173, 302)","(234, 400)"
2,"[[169, 550, 0], [212, 529, -36], [237, 484, -54], [218, 437, -69], [190, 402, -82], [255, 395, -26], [284, 327, -50], [300, 284, -65], [309, 248, -74], [215, 394, -24], [217, 357, -65], [210, 404, -77], [208, 436, -73], [176, 402, -26], [173, 388, -66], [177, 435, -62], [182, 456, -48], [142, 418, -31], [141, 403, -55], [147, 435, -48], [153, 450, -35]]","(141, 248, 168, 302)","(225, 399)"
3,"[[167, 552, 0], [209, 529, -34], [234, 484, -51], [213, 436, -66], [185, 404, -77], [252, 398, -24], [280, 329, -48], [296, 285, -62], [306, 249, -71], [213, 396, -22], [218, 356, -64], [211, 404, -74], [209, 436, -70], [176, 405, -25], [171, 387, -67], [175, 435, -62], [181, 456, -47], [142, 420, -30], [139, 401, -55], [146, 434, -47], [152, 451, -33]]","(139, 249, 167, 303)","(222, 400)"
4,"[[166, 549, 0], [208, 526, -33], [232, 480, -49], [213, 434, -63], [187, 402, -75], [250, 397, -24], [276, 328, -49], [292, 284, -63], [301, 247, -72], [212, 396, -23], [215, 355, -65], [211, 403, -76], [210, 436, -71], [175, 404, -26], [171, 388, -67], [176, 436, -63], [181, 458, -48], [141, 418, -31], [140, 400, -56], [147, 433, -48], [152, 450, -34]]","(140, 247, 161, 302)","(220, 398)"
5,"[[167, 547, 0], [209, 524, -34], [233, 477, -49], [212, 432, -60], [186, 400, -70], [249, 394, -26], [273, 323, -49], [288, 279, -62], [295, 242, -71], [210, 394, -24], [213, 354, -64], [209, 403, -74], [208, 436, -69], [173, 404, -27], [170, 389, -69], [175, 440, -65], [180, 460, -50], [140, 420, -32], [139, 401, -57], [146, 436, -49], [151, 452, -35]]","(139, 242, 156, 305)","(217, 394)"
6,"[[167, 549, 0], [209, 525, -32], [234, 476, -45], [216, 432, -56], [190, 402, -65], [246, 393, -23], [268, 322, -46], [279, 277, -59], [285, 239, -67], [208, 395, -22], [208, 358, -62], [204, 408, -71], [204, 439, -66], [172, 405, -25], [168, 389, -67], [174, 440, -62], [180, 459, -47], [138, 422, -31], [137, 400, -56], [145, 434, -47], [151, 452, -32]]","(137, 239, 148, 310)","(211, 394)"
7,"[[176, 543, 0], [216, 516, -36], [241, 465, -52], [219, 419, -63], [189, 386, -71], [241, 381, -27], [244, 306, -51], [244, 263, -64], [239, 225, -72], [203, 387, -25], [196, 351, -66], [201, 401, -76], [205, 430, -71], [168, 400, -26], [161, 389, -70], [174, 440, -67], [183, 456, -53], [137, 419, -31], [137, 410, -59], [148, 446, -54], [155, 457, -43]]","(137, 225, 107, 318)","(190, 384)"
8,"[[178, 541, 0], [218, 514, -41], [240, 461, -57], [217, 417, -69], [190, 381, -76], [240, 376, -27], [242, 304, -51], [240, 260, -64], [233, 224, -72], [202, 383, -21], [193, 352, -63], [199, 403, -73], [206, 433, -68], [167, 397, -21], [159, 388, -66], [174, 438, -65], [184, 453, -50], [137, 415, -24], [135, 410, -55], [149, 446, -52], [158, 456, -41]]","(135, 224, 107, 317)","(188, 382)"
9,"[[181, 537, 0], [219, 509, -41], [241, 459, -58], [222, 414, -72], [196, 377, -81], [241, 373, -30], [241, 300, -55], [238, 257, -68], [230, 222, -77], [204, 380, -24], [194, 351, -66], [200, 402, -76], [207, 429, -72], [170, 394, -24], [161, 389, -68], [176, 438, -66], [187, 451, -52], [140, 413, -27], [137, 413, -57], [152, 448, -55], [162, 457, -45]]","(137, 222, 104, 315)","(189, 379)"
