,lmList,bbox,center
0,"[[202, 492, 0], [226, 473, -40], [224, 432, -55], [186, 401, -66], [151, 376, -75], [240, 350, -23], [263, 297, -42], [276, 261, -54], [284, 232, -62], [208, 347, -16], [203, 283, -38], [202, 242, -50], [202, 208, -55], [182, 364, -15], [167, 343, -49], [177, 374, -60], [185, 394, -56], [166, 389, -16], [157, 380, -45], [167, 403, -51], [178, 418, -47]]","(151, 208, 133, 284)","(217, 350)"
1,"[[202, 494, 0], [226, 475, -40], [226, 435, -56], [189, 404, -67], [155, 378, -76], [242, 353, -24], [264, 300, -43], [276, 264, -57], [284, 234, -65], [210, 349, -17], [207, 286, -39], [205, 246, -53], [204, 212, -57], [184, 365, -16], [167, 343, -51], [177, 376, -61], [186, 396, -57], [166, 390, -18], [157, 381, -47], [168, 404, -52], [179, 419, -49]]","(155, 212, 129, 282)","(219, 353)"
2,"[[204, 493, 0], [229, 475, -39], [230, 434, -54], [193, 405, -66], [157, 380, -75], [243, 353, -22], [265, 300, -42], [277, 265, -55], [284, 236, -63], [211, 349, -17], [206, 286, -39], [205, 247, -53], [203, 213, -57], [184, 364, -17], [168, 344, -51], [180, 378, -61], [189, 399, -57], [165, 389, -19], [158, 381, -47], [170, 405, -53], [181, 420, -49]]","(157, 213, 127, 280)","(220, 353)"
3,"[[204, 496, 0], [231, 477, -35], [233, 435, -49], [195, 405, -60], [161, 380, -69], [244, 354, -18], [265, 302, -38], [278, 266, -51], [285, 237, -58], [212, 350, -15], [207, 287, -36], [206, 248, -50], [204, 213, -55], [186, 367, -16], [170, 344, -49], [180, 376, -59], [187, 396, -54], [167, 393, -20], [159, 383, -48], [169, 406, -52], [179, 421, -48]]","(159, 213, 126, 283)","(222, 354)"
4,"[[206, 496, 0], [232, 477, -37], [233, 436, -52], [195, 406, -64], [161, 381, -73], [245, 355, -22], [266, 303, -42], [278, 267, -55], [285, 237, -63], [213, 352, -17], [208, 288, -40], [206, 249, -53], [204, 214, -59], [186, 367, -18], [171, 345, -52], [181, 378, -62], [189, 399, -58], [168, 392, -21], [160, 384, -50], [172, 408, -55], [183, 423, -52]]","(160, 214, 125, 282)","(222, 355)"
5,"[[207, 494, 0], [233, 476, -38], [234, 436, -53], [196, 407, -65], [162, 382, -74], [246, 354, -23], [267, 301, -42], [279, 266, -55], [286, 236, -63], [213, 351, -18], [208, 288, -39], [207, 248, -52], [205, 214, -57], [187, 367, -18], [172, 346, -51], [183, 377, -61], [191, 397, -58], [168, 392, -20], [163, 384, -48], [174, 407, -54], [185, 421, -51]]","(162, 214, 124, 280)","(224, 354)"
6,"[[206, 496, 0], [234, 478, -36], [238, 438, -51], [201, 408, -62], [168, 384, -71], [249, 355, -21], [271, 302, -41], [283, 267, -55], [290, 238, -63], [215, 351, -17], [213, 288, -39], [211, 248, -53], [208, 213, -59], [188, 366, -18], [173, 343, -51], [185, 374, -61], [193, 396, -57], [169, 392, -21], [164, 385, -49], [175, 407, -55], [186, 423, -51]]","(164, 213, 126, 283)","(227, 354)"
7,"[[206, 498, 0], [234, 480, -37], [238, 440, -51], [201, 410, -63], [168, 384, -72], [248, 355, -21], [272, 303, -40], [285, 268, -53], [292, 238, -61], [215, 351, -16], [212, 288, -38], [212, 248, -51], [211, 214, -57], [188, 367, -17], [174, 344, -50], [185, 375, -61], [193, 396, -57], [169, 392, -20], [163, 383, -49], [175, 407, -54], [185, 423, -51]]","(163, 214, 129, 284)","(227, 356)"
8,"[[205, 500, 0], [233, 480, -35], [235, 438, -49], [198, 407, -59], [164, 384, -67], [246, 354, -20], [271, 301, -38], [284, 265, -51], [291, 236, -58], [213, 350, -16], [209, 286, -36], [209, 245, -50], [207, 210, -55], [187, 367, -16], [172, 343, -48], [182, 372, -59], [189, 392, -55], [168, 393, -19], [162, 383, -47], [172, 404, -52], [182, 420, -49]]","(162, 210, 129, 290)","(226, 355)"
9,"[[204, 499, 0], [232, 479, -34], [236, 435, -47], [197, 405, -59], [160, 381, -67], [245, 353, -19], [269, 299, -38], [282, 263, -50], [290, 234, -58], [212, 349, -16], [208, 284, -37], [207, 243, -50], [206, 208, -54], [185, 366, -17], [170, 341, -50], [181, 371, -60], [189, 393, -56], [167, 392, -22], [161, 384, -50], [173, 407, -55], [183, 423, -51]]","(160, 208, 130, 291)","(225, 353)"
