,lmList,bbox,center
0,"[[244, 440, 0], [289, 413, -8], [321, 380, -15], [341, 348, -25], [335, 318, -29], [280, 317, 11], [327, 321, -12], [318, 356, -27], [299, 361, -34], [262, 313, 5], [317, 322, -18], [306, 361, -23], [288, 362, -22], [246, 317, -5], [301, 331, -28], [292, 367, -24], [274, 368, -15], [235, 326, -17], [283, 337, -29], [277, 362, -24], [259, 364, -17]]","(235, 313, 106, 127)","(288, 376)"
1,"[[245, 440, 0], [288, 414, -8], [321, 381, -16], [342, 348, -25], [334, 318, -30], [279, 320, 8], [328, 323, -15], [319, 358, -29], [300, 363, -36], [261, 316, 2], [316, 324, -19], [305, 363, -24], [288, 364, -23], [246, 318, -7], [300, 332, -30], [290, 368, -25], [272, 370, -16], [234, 327, -18], [283, 337, -30], [276, 362, -25], [258, 365, -18]]","(234, 316, 108, 124)","(288, 378)"
2,"[[246, 440, 0], [290, 414, -8], [323, 380, -15], [343, 347, -24], [335, 318, -29], [279, 320, 10], [325, 323, -13], [317, 359, -27], [298, 364, -35], [262, 316, 4], [314, 325, -18], [305, 363, -24], [288, 364, -23], [247, 319, -5], [301, 332, -28], [291, 367, -24], [273, 368, -16], [236, 327, -16], [285, 337, -29], [279, 361, -24], [260, 364, -17]]","(236, 316, 107, 124)","(289, 378)"
3,"[[248, 437, 0], [292, 411, -8], [324, 380, -16], [344, 347, -26], [334, 318, -32], [282, 323, 10], [325, 322, -12], [318, 357, -26], [301, 363, -34], [264, 319, 5], [314, 324, -16], [307, 362, -22], [290, 364, -21], [250, 321, -4], [301, 330, -27], [294, 366, -23], [274, 368, -14], [238, 327, -15], [284, 335, -27], [280, 360, -22], [261, 365, -14]]","(238, 318, 106, 119)","(291, 377)"
4,"[[249, 437, 0], [292, 411, -8], [324, 380, -15], [344, 347, -24], [336, 317, -30], [281, 323, 9], [326, 323, -13], [318, 357, -27], [299, 365, -35], [264, 319, 4], [316, 325, -17], [307, 362, -23], [289, 365, -23], [249, 321, -5], [302, 330, -28], [293, 365, -24], [275, 369, -16], [238, 328, -16], [285, 334, -28], [280, 360, -23], [261, 364, -16]]","(238, 317, 106, 120)","(291, 377)"
5,"[[252, 435, 0], [293, 412, -8], [325, 380, -15], [344, 346, -23], [335, 317, -28], [291, 326, 9], [331, 324, -12], [323, 358, -26], [305, 366, -32], [272, 322, 4], [317, 326, -16], [308, 363, -22], [291, 366, -21], [255, 323, -4], [303, 331, -26], [294, 366, -23], [275, 370, -15], [241, 329, -14], [287, 334, -26], [281, 359, -21], [263, 365, -14]]","(241, 317, 103, 118)","(292, 376)"
6,"[[249, 436, 0], [293, 411, -6], [324, 379, -13], [344, 346, -22], [337, 317, -27], [284, 323, 11], [327, 323, -10], [320, 356, -23], [302, 362, -31], [267, 320, 5], [317, 324, -15], [309, 360, -20], [293, 363, -19], [252, 322, -4], [303, 329, -26], [296, 363, -21], [278, 366, -13], [241, 328, -15], [287, 334, -27], [282, 359, -21], [264, 364, -13]]","(241, 317, 103, 119)","(292, 376)"
7,"[[252, 434, 0], [295, 408, -7], [326, 379, -14], [345, 346, -23], [337, 317, -29], [285, 324, 9], [328, 323, -12], [321, 356, -25], [304, 364, -32], [268, 321, 4], [317, 324, -16], [309, 361, -22], [292, 365, -21], [252, 322, -4], [303, 329, -26], [295, 364, -22], [277, 368, -14], [239, 327, -14], [286, 332, -26], [282, 357, -21], [264, 364, -14]]","(239, 317, 106, 117)","(292, 375)"
8,"[[249, 435, 0], [290, 412, -8], [322, 380, -16], [342, 347, -25], [336, 318, -31], [287, 324, 9], [328, 324, -13], [320, 357, -26], [301, 362, -33], [268, 320, 4], [315, 323, -17], [307, 361, -21], [289, 362, -20], [251, 321, -5], [300, 329, -28], [292, 364, -23], [274, 366, -13], [236, 327, -16], [282, 333, -28], [278, 358, -22], [260, 363, -14]]","(236, 318, 106, 117)","(289, 376)"
9,"[[250, 436, 0], [293, 411, -7], [324, 380, -14], [343, 347, -23], [335, 318, -28], [285, 323, 11], [325, 322, -11], [318, 356, -25], [301, 364, -32], [267, 320, 5], [314, 323, -15], [306, 361, -21], [289, 364, -20], [251, 322, -4], [300, 329, -27], [292, 365, -23], [274, 368, -14], [237, 329, -14], [283, 334, -27], [279, 359, -21], [261, 365, -13]]","(237, 318, 106, 118)","(290, 377)"
10,"[[249, 436, 0], [292, 411, -8], [323, 379, -15], [342, 345, -24], [333, 316, -29], [282, 324, 9], [326, 323, -13], [318, 357, -27], [300, 365, -34], [264, 320, 4], [314, 324, -18], [306, 362, -23], [288, 366, -22], [249, 322, -5], [300, 330, -28], [292, 366, -24], [273, 370, -16], [235, 328, -15], [283, 334, -29], [278, 359, -24], [260, 365, -16]]","(235, 316, 107, 120)","(288, 376)"
