,lmList,bbox,center
0,"[[555, 529, 0], [517, 503, -13], [490, 455, -17], [469, 421, -20], [444, 405, -24], [536, 400, -7], [539, 352, -15], [543, 323, -23], [549, 300, -30], [567, 401, -11], [583, 350, -17], [593, 320, -26], [601, 295, -33], [593, 415, -17], [615, 368, -28], [628, 341, -39], [639, 316, -47], [613, 436, -25], [642, 411, -38], [661, 393, -45], [678, 375, -51]]","(444, 295, 234, 234)","(561, 412)"
1,"[[555, 528, 0], [517, 503, -13], [490, 455, -17], [469, 422, -21], [445, 404, -26], [537, 399, -8], [540, 351, -16], [545, 323, -24], [550, 299, -31], [568, 401, -12], [584, 350, -19], [594, 319, -27], [601, 295, -34], [594, 415, -18], [617, 368, -30], [630, 341, -40], [640, 316, -48], [613, 436, -26], [643, 410, -39], [662, 392, -46], [678, 374, -51]]","(445, 295, 233, 233)","(561, 411)"
2,"[[563, 529, 0], [524, 502, -12], [495, 457, -17], [473, 425, -22], [448, 409, -27], [541, 399, -7], [541, 351, -15], [545, 322, -23], [549, 299, -30], [571, 400, -11], [586, 349, -17], [595, 318, -25], [601, 293, -32], [597, 413, -18], [619, 367, -28], [631, 339, -37], [640, 314, -45], [618, 434, -26], [646, 407, -37], [663, 387, -43], [677, 368, -48]]","(448, 293, 229, 236)","(562, 411)"
3,"[[562, 527, 0], [523, 502, -13], [495, 457, -18], [473, 426, -23], [449, 410, -28], [541, 399, -8], [542, 351, -16], [545, 322, -24], [550, 298, -32], [572, 400, -12], [587, 348, -18], [595, 317, -27], [602, 292, -34], [599, 412, -18], [619, 366, -29], [632, 338, -39], [641, 314, -47], [619, 434, -26], [647, 406, -38], [665, 387, -45], [680, 369, -50]]","(449, 292, 231, 235)","(564, 409)"
4,"[[566, 530, 0], [526, 504, -13], [496, 458, -18], [473, 426, -22], [448, 410, -27], [543, 399, -7], [543, 351, -15], [546, 322, -23], [550, 298, -30], [574, 400, -11], [587, 348, -17], [596, 317, -25], [602, 292, -32], [600, 413, -18], [620, 366, -27], [632, 338, -37], [641, 313, -45], [621, 434, -25], [648, 406, -37], [666, 386, -43], [680, 368, -48]]","(448, 292, 232, 238)","(564, 411)"
5,"[[566, 529, 0], [526, 504, -13], [496, 458, -17], [473, 426, -21], [448, 411, -25], [542, 399, -7], [542, 351, -14], [546, 322, -22], [550, 298, -29], [573, 400, -10], [587, 347, -16], [596, 316, -24], [603, 291, -31], [600, 412, -17], [620, 365, -27], [633, 337, -37], [642, 312, -45], [622, 433, -24], [649, 406, -37], [667, 387, -43], [681, 368, -49]]","(448, 291, 233, 238)","(564, 410)"
6,"[[565, 529, 0], [525, 504, -14], [495, 459, -19], [473, 427, -24], [448, 411, -29], [541, 399, -8], [542, 350, -17], [545, 321, -25], [549, 298, -33], [572, 400, -12], [586, 348, -19], [595, 317, -28], [602, 291, -35], [599, 412, -18], [619, 365, -30], [632, 338, -40], [641, 313, -48], [621, 433, -26], [648, 405, -39], [666, 387, -46], [681, 368, -51]]","(448, 291, 233, 238)","(564, 410)"
7,"[[566, 528, 0], [525, 502, -13], [495, 457, -17], [472, 425, -21], [447, 411, -25], [541, 398, -7], [542, 350, -15], [545, 321, -22], [549, 297, -29], [572, 400, -11], [586, 347, -17], [595, 316, -25], [602, 291, -32], [598, 412, -17], [619, 365, -28], [632, 337, -38], [641, 312, -46], [620, 433, -25], [647, 405, -37], [665, 386, -44], [680, 368, -49]]","(447, 291, 233, 237)","(563, 409)"
8,"[[562, 528, 0], [523, 502, -12], [492, 456, -16], [469, 425, -20], [444, 411, -24], [540, 397, -6], [540, 349, -13], [542, 320, -21], [546, 297, -28], [570, 398, -10], [584, 347, -16], [592, 315, -24], [599, 290, -31], [596, 411, -17], [617, 364, -27], [629, 336, -37], [638, 311, -45], [618, 432, -24], [644, 403, -37], [661, 384, -44], [676, 365, -49]]","(444, 290, 232, 238)","(560, 409)"
9,"[[562, 528, 0], [523, 502, -12], [493, 457, -18], [470, 426, -22], [445, 411, -27], [539, 398, -7], [539, 350, -15], [541, 321, -23], [545, 297, -31], [570, 399, -11], [583, 347, -17], [592, 315, -26], [598, 290, -33], [596, 411, -18], [616, 364, -28], [628, 336, -38], [637, 311, -46], [618, 432, -26], [645, 404, -37], [662, 384, -44], [675, 365, -48]]","(445, 290, 230, 238)","(560, 409)"
10,"[[561, 529, 0], [522, 503, -13], [491, 457, -18], [468, 426, -22], [442, 412, -27], [538, 399, -7], [538, 350, -14], [539, 321, -23], [542, 297, -30], [569, 400, -11], [582, 347, -17], [590, 316, -25], [596, 290, -32], [595, 412, -17], [615, 365, -28], [627, 336, -38], [636, 311, -45], [616, 432, -25], [642, 403, -37], [659, 383, -43], [673, 364, -48]]","(442, 290, 231, 239)","(557, 409)"
