,lmList,bbox,center
0,"[[261, 490, 0], [290, 471, -27], [298, 434, -41], [266, 401, -52], [236, 380, -62], [308, 367, -30], [332, 316, -48], [344, 283, -61], [352, 255, -71], [279, 357, -30], [290, 297, -44], [295, 259, -57], [299, 227, -66], [251, 365, -31], [243, 311, -48], [240, 276, -64], [239, 245, -74], [226, 386, -35], [202, 353, -54], [186, 331, -65], [175, 308, -72]]","(175, 227, 177, 263)","(263, 358)"
1,"[[259, 487, 0], [288, 470, -27], [298, 434, -41], [266, 401, -52], [237, 381, -63], [308, 366, -31], [332, 315, -49], [342, 283, -61], [350, 255, -71], [278, 357, -30], [289, 297, -45], [294, 259, -58], [297, 226, -67], [250, 364, -32], [243, 311, -49], [241, 276, -65], [241, 245, -75], [225, 385, -37], [200, 352, -55], [185, 330, -67], [173, 308, -75]]","(173, 226, 177, 261)","(261, 356)"
2,"[[259, 491, 0], [288, 473, -26], [296, 436, -40], [264, 404, -51], [233, 386, -61], [304, 367, -31], [325, 316, -48], [334, 283, -61], [341, 255, -71], [274, 358, -30], [284, 299, -45], [289, 261, -57], [293, 228, -66], [246, 367, -33], [239, 312, -49], [236, 278, -64], [235, 247, -74], [221, 388, -37], [197, 355, -56], [181, 333, -66], [170, 311, -73]]","(170, 228, 171, 263)","(255, 359)"
3,"[[258, 489, 0], [286, 472, -29], [294, 435, -44], [262, 401, -56], [231, 381, -67], [303, 367, -33], [324, 316, -52], [333, 283, -65], [340, 254, -76], [273, 358, -32], [283, 299, -47], [288, 261, -61], [291, 228, -71], [245, 366, -33], [237, 312, -51], [235, 277, -67], [235, 246, -79], [220, 387, -36], [195, 356, -56], [179, 334, -69], [167, 310, -78]]","(167, 228, 173, 261)","(253, 358)"
4,"[[257, 490, 0], [285, 472, -27], [293, 436, -42], [261, 404, -53], [231, 386, -64], [302, 368, -32], [323, 316, -50], [333, 283, -63], [339, 254, -73], [273, 359, -31], [283, 299, -46], [287, 261, -59], [290, 228, -68], [245, 367, -33], [237, 313, -50], [234, 278, -66], [234, 247, -77], [219, 388, -37], [194, 356, -56], [178, 334, -68], [166, 310, -76]]","(166, 228, 173, 262)","(252, 359)"
5,"[[256, 493, 0], [285, 476, -28], [293, 439, -43], [261, 406, -54], [230, 385, -65], [302, 370, -32], [323, 317, -50], [332, 284, -63], [339, 256, -73], [271, 361, -31], [281, 301, -46], [286, 263, -59], [289, 229, -69], [243, 369, -32], [235, 315, -50], [233, 280, -66], [233, 249, -77], [218, 391, -36], [193, 357, -56], [177, 335, -68], [165, 311, -76]]","(165, 229, 174, 264)","(252, 361)"
6,"[[256, 493, 0], [285, 474, -29], [292, 437, -44], [259, 403, -55], [229, 383, -66], [302, 369, -32], [323, 317, -50], [331, 283, -63], [338, 255, -74], [272, 361, -30], [281, 301, -46], [285, 263, -59], [288, 230, -69], [243, 369, -32], [236, 315, -49], [233, 279, -66], [232, 248, -77], [218, 391, -35], [193, 359, -55], [177, 336, -68], [164, 312, -76]]","(164, 230, 174, 263)","(251, 361)"
7,"[[255, 494, 0], [284, 477, -29], [293, 440, -44], [260, 406, -55], [230, 385, -66], [301, 371, -33], [322, 319, -52], [331, 285, -65], [338, 256, -75], [270, 362, -32], [281, 302, -47], [285, 263, -60], [289, 230, -70], [242, 370, -33], [235, 315, -50], [232, 280, -67], [233, 249, -78], [217, 391, -36], [192, 359, -56], [176, 336, -69], [163, 313, -77]]","(163, 230, 175, 264)","(250, 362)"
8,"[[254, 495, 0], [284, 477, -28], [293, 440, -42], [260, 408, -53], [230, 389, -63], [301, 371, -31], [321, 318, -49], [330, 285, -62], [337, 256, -72], [270, 362, -30], [280, 301, -45], [284, 263, -58], [288, 230, -68], [242, 370, -32], [235, 315, -49], [232, 280, -65], [232, 249, -76], [217, 392, -36], [192, 360, -56], [176, 337, -68], [164, 314, -76]]","(164, 230, 173, 265)","(250, 362)"
9,"[[259, 499, 0], [288, 478, -27], [294, 439, -40], [259, 410, -51], [227, 394, -61], [299, 370, -30], [318, 318, -47], [326, 285, -60], [332, 256, -71], [269, 362, -30], [277, 302, -44], [280, 264, -56], [283, 231, -66], [242, 372, -32], [232, 318, -49], [228, 283, -64], [226, 252, -75], [216, 395, -37], [188, 364, -55], [171, 343, -67], [157, 321, -74]]","(157, 231, 175, 268)","(244, 365)"
10,"[[255, 498, 0], [285, 479, -25], [296, 444, -38], [265, 413, -49], [235, 396, -59], [303, 373, -28], [324, 321, -45], [333, 288, -58], [340, 261, -68], [272, 363, -28], [281, 303, -42], [285, 266, -54], [289, 234, -62], [244, 372, -31], [235, 316, -47], [232, 282, -61], [232, 251, -71], [218, 394, -36], [191, 364, -55], [174, 343, -66], [161, 321, -72]]","(161, 234, 179, 264)","(250, 366)"
11,"[[255, 499, 0], [285, 482, -26], [299, 450, -41], [271, 421, -53], [241, 405, -65], [304, 378, -32], [329, 327, -50], [340, 294, -64], [348, 266, -74], [274, 367, -32], [286, 307, -47], [292, 269, -59], [298, 237, -68], [245, 374, -35], [241, 318, -51], [240, 284, -65], [241, 253, -75], [219, 395, -40], [194, 363, -58], [179, 341, -68], [167, 317, -74]]","(167, 237, 181, 262)","(257, 368)"
12,"[[245, 498, 0], [275, 484, -28], [287, 450, -43], [259, 417, -55], [231, 396, -66], [301, 384, -34], [331, 337, -53], [346, 304, -67], [358, 277, -78], [273, 370, -32], [290, 313, -48], [301, 276, -60], [310, 244, -68], [245, 374, -34], [245, 319, -50], [249, 284, -64], [254, 253, -73], [218, 392, -37], [196, 358, -55], [184, 334, -65], [176, 310, -72]]","(176, 244, 182, 254)","(267, 371)"
13,"[[243, 497, 0], [274, 483, -27], [284, 447, -42], [257, 413, -53], [229, 392, -65], [301, 383, -34], [331, 336, -53], [346, 304, -67], [359, 277, -77], [273, 369, -33], [292, 312, -49], [302, 274, -61], [311, 242, -70], [245, 373, -35], [245, 318, -51], [249, 281, -66], [255, 250, -76], [217, 391, -39], [196, 356, -56], [184, 331, -67], [177, 306, -75]]","(177, 242, 182, 255)","(268, 369)"
14,"[[241, 497, 0], [273, 483, -26], [286, 448, -39], [258, 414, -50], [230, 395, -60], [301, 382, -31], [331, 335, -49], [347, 303, -62], [359, 277, -72], [273, 369, -31], [292, 311, -46], [303, 273, -58], [312, 241, -66], [245, 372, -33], [246, 317, -49], [250, 281, -64], [256, 248, -74], [217, 389, -38], [196, 354, -55], [184, 329, -66], [177, 303, -73]]","(177, 241, 182, 256)","(268, 369)"
15,"[[236, 493, 0], [265, 479, -27], [279, 445, -42], [252, 410, -53], [225, 389, -64], [296, 378, -32], [324, 332, -51], [340, 301, -64], [352, 274, -74], [269, 364, -32], [289, 307, -46], [301, 270, -58], [310, 238, -67], [241, 367, -33], [243, 313, -50], [247, 276, -64], [254, 244, -75], [212, 384, -38], [192, 348, -55], [181, 324, -66], [173, 299, -72]]","(173, 238, 179, 255)","(262, 365)"
16,"[[236, 490, 0], [265, 477, -28], [277, 444, -43], [251, 409, -55], [223, 386, -67], [294, 378, -35], [323, 331, -54], [339, 300, -68], [353, 273, -78], [267, 364, -34], [287, 306, -49], [298, 268, -62], [308, 236, -71], [240, 367, -35], [240, 312, -52], [244, 276, -67], [250, 244, -77], [212, 383, -39], [191, 348, -57], [179, 324, -68], [171, 299, -76]]","(171, 236, 182, 254)","(262, 363)"
17,"[[238, 487, 0], [268, 471, -28], [281, 437, -43], [254, 404, -55], [226, 383, -66], [288, 368, -36], [311, 318, -55], [323, 285, -68], [333, 257, -78], [258, 356, -35], [270, 296, -52], [277, 258, -64], [284, 226, -73], [230, 363, -37], [224, 306, -56], [222, 269, -72], [224, 238, -82], [204, 383, -41], [177, 350, -62], [161, 327, -73], [150, 305, -80]]","(150, 226, 183, 261)","(241, 356)"
18,"[[246, 487, 0], [276, 467, -28], [285, 432, -42], [254, 404, -54], [223, 389, -66], [285, 362, -34], [302, 308, -52], [310, 275, -65], [315, 246, -75], [254, 353, -34], [259, 292, -49], [262, 254, -62], [265, 221, -70], [226, 363, -36], [215, 307, -54], [210, 272, -70], [207, 240, -81], [201, 387, -40], [172, 356, -60], [153, 335, -72], [139, 314, -79]]","(139, 221, 176, 266)","(227, 354)"
19,"[[251, 488, 0], [280, 468, -30], [287, 432, -45], [258, 405, -57], [227, 391, -69], [286, 360, -36], [300, 306, -54], [305, 272, -68], [309, 243, -78], [255, 353, -34], [257, 292, -50], [258, 253, -63], [258, 220, -73], [227, 363, -36], [213, 310, -53], [205, 274, -70], [202, 243, -82], [203, 388, -39], [171, 360, -59], [151, 340, -72], [136, 319, -81]]","(136, 220, 173, 268)","(222, 354)"
20,"[[267, 486, 0], [297, 462, -27], [303, 425, -41], [270, 399, -53], [237, 386, -64], [297, 355, -33], [308, 299, -52], [311, 265, -65], [311, 235, -75], [264, 350, -33], [263, 289, -49], [261, 250, -62], [258, 216, -71], [236, 363, -36], [218, 310, -53], [207, 275, -69], [200, 244, -80], [214, 390, -40], [180, 364, -60], [159, 344, -72], [142, 325, -80]]","(142, 216, 169, 270)","(226, 351)"
